object,weight,color,contents
heavy_blue_beans,heavy,blue,beans
light_blue_beans,light,blue,beans
medium_blue_beans,medium,blue,beans
heavy_brown_beans,heavy,brown,beans
light_brown_beans,light,brown,beans
medium_brown_beans,medium,brown,beans
heavy_green_beans,heavy,green,beans
light_green_beans,light,green,beans
medium_green_beans,medium,green,beans
heavy_blue_glass,heavy,blue,glass
light_blue_glass,light,blue,glass
medium_blue_glass,medium,blue,glass
heavy_brown_glass,heavy,brown,glass
light_brown_glass,light,brown,glass
medium_brown_glass,medium,brown,glass
heavy_green_glass,heavy,green,glass
light_green_glass,light,green,glass
medium_green_glass,medium,green,glass
heavy_blue_rice,heavy,blue,rice
light_blue_rice,light,blue,rice
medium_blue_rice,medium,blue,rice
heavy_brown_rice,heavy,brown,rice
light_brown_rice,light,brown,rice
medium_brown_rice,medium,brown,rice
heavy_green_rice,heavy,green,rice
light_green_rice,light,green,rice
medium_green_rice,medium,green,rice
heavy_blue_screws,heavy,blue,screws
light_blue_screws,light,blue,screws
medium_blue_screws,medium,blue,screws
heavy_brown_screws,heavy,brown,screws
light_brown_screws,light,brown,screws
medium_brown_screws,medium,brown,screws
heavy_green_screws,heavy,green,screws
light_green_screws,light,green,screws
medium_green_screws,medium,green,screws
