@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning,RawPruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Permutation,Decrement,Increment,[weight],[color],[contents],~[weight],~[color],~[contents],Same:weight,Different:color,DecrementPattern:weight,Same:color,Same:contents,Different:contents,IncrementPattern:weight,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,RawDistances,1,2,Averaged,0.592095,0.077295
ROWS_ONLY,RawDistances,1,3,Averaged,0.433238,0.077171
ROWS_ONLY,RawDistances,1,2,Same,0.59727,0.083276
ROWS_ONLY,RawDistances,2,2,Averaged,0.64142,0.076445
COLS_ONLY,RawDistances,1,2,Averaged,0.558381,0.088477
ROWS_ONLY,ClusterDiff,1,2,Averaged,0.61619,0.089263
ROWS_ONLY,RawDistances,1,4,Averaged,0.353238,0.084715
ROWS_ONLY,RawDistances,1,3,Same,0.44243,0.083469
ROWS_ONLY,RawDistances,1,2,Permutation,0.59196,0.075978
ROWS_ONLY,RawDistances,3,2,Averaged,0.67441,0.076016
COLS_ONLY,ClusterDiff,1,2,Averaged,0.615143,0.08916
COLS_ONLY,RawDistances,2,2,Averaged,0.60731,0.08803
ROWS_ONLY,ClusterDiff,2,2,Averaged,0.67836,0.094936
ROWS_ONLY,RawDistances,2,2,Same,0.650525,0.082643
ROWS_ONLY,RawDistances,2,3,Averaged,0.48715,0.079245
BOTH,RawDistances,1,2,Averaged,0.595143,0.099268
COLS_ONLY,RawDistances,1,2,Same,0.564239,0.090505
COLS_ONLY,RawDistances,1,3,Averaged,0.403905,0.088732
ROWS_ONLY,Pruning,1,2,Averaged,0.61619,0.089263
ROWS_ONLY,ClusterDiff,1,2,Same,0.629259,0.095818
ROWS_ONLY,ClusterDiff,1,3,Averaged,0.412476,0.118866
BOTH,ClusterDiff,1,2,Averaged,0.628286,0.099668
ROWS_ONLY,RawDistances,1,5,Averaged,0.296571,0.0739
ROWS_ONLY,RawDistances,1,4,Same,0.361259,0.091103
ROWS_ONLY,RawDistances,1,3,Permutation,0.430291,0.07837
ROWS_ONLY,RawDistances,1,2,Decrement,0.588435,0.142332
ROWS_ONLY,RawDistances,3,3,Averaged,0.52437,0.080155
ROWS_ONLY,RawDistances,3,2,Same,0.68651,0.081608
COLS_ONLY,ClusterDiff,1,3,Averaged,0.408286,0.114881
COLS_ONLY,ClusterDiff,1,2,Same,0.628321,0.095329
ROWS_ONLY,RawDistances,4,2,Averaged,0.69903,0.068567
COLS_ONLY,RawDistances,2,2,Same,0.615591,0.092332
COLS_ONLY,RawDistances,2,3,Averaged,0.45552,0.092346
ROWS_ONLY,ClusterDiff,2,2,Same,0.694037,0.100514
ROWS_ONLY,ClusterDiff,2,3,Averaged,0.4988,0.126958
ROWS_ONLY,RawDistances,2,2,Permutation,0.640722,0.073221
ROWS_ONLY,RawDistances,2,3,Same,0.502112,0.085092
ROWS_ONLY,RawDistances,2,4,Averaged,0.409,0.087006
ROWS_ONLY,ClusterDiff,3,2,Averaged,0.72407,0.092874
COLS_ONLY,RawDistances,3,2,Averaged,0.64278,0.086914
BOTH,RawDistances,1,2,Same,0.603314,0.104025
BOTH,RawDistances,1,3,Averaged,0.440667,0.099203
COLS_ONLY,ClusterDiff,2,2,Averaged,0.67614,0.094959
BOTH,RawDistances,2,2,Averaged,0.65058,0.093187
ROWS_ONLY,Pruning,2,2,Averaged,0.67933,0.096153
COLS_ONLY,RawDistances,1,2,Permutation,0.559927,0.090529
COLS_ONLY,RawDistances,1,3,Same,0.408774,0.094631
COLS_ONLY,RawDistances,1,4,Averaged,0.335048,0.086454
ROWS_ONLY,Pruning,1,2,Same,0.629259,0.095818
ROWS_ONLY,Pruning,1,3,Averaged,0.412476,0.118866
ROWS_ONLY,RawPruning,1,2,Averaged,0.592095,0.077295
COLS_ONLY,Pruning,1,2,Averaged,0.615143,0.08916
ROWS_ONLY,ClusterDiff,1,2,Permutation,0.616468,0.084507
ROWS_ONLY,ClusterDiff,1,3,Same,0.415963,0.127824
ROWS_ONLY,ClusterDiff,1,4,Averaged,0.375143,0.110266
BOTH,ClusterDiff,1,3,Averaged,0.428095,0.12952
BOTH,ClusterDiff,1,2,Same,0.641346,0.104989
ROWS_ONLY,RawDistances,1,6,Averaged,0.258476,0.076493
ROWS_ONLY,RawDistances,1,5,Same,0.303011,0.079809
ROWS_ONLY,RawDistances,1,4,Permutation,0.348705,0.081956
ROWS_ONLY,RawDistances,1,3,Decrement,0.452999,0.146801
ROWS_ONLY,RawDistances,1,2,Increment,0.653994,0.140631
BOTH,ClusterDiff,2,2,Averaged,0.69582,0.104669
COLS_ONLY,ClusterDiff,3,2,Averaged,0.72214,0.092871
ROWS_ONLY,ClusterDiff,4,2,Averaged,0.75604,0.087047
COLS_ONLY,RawPruning,1,2,Averaged,0.558381,0.088477
ROWS_ONLY,RawDistances,3,4,Averaged,0.44852,0.087299
ROWS_ONLY,RawDistances,3,3,Same,0.543435,0.085847
ROWS_ONLY,RawDistances,3,2,Permutation,0.673363,0.072301
COLS_ONLY,ClusterDiff,1,4,Averaged,0.374571,0.109596
COLS_ONLY,ClusterDiff,1,3,Same,0.412004,0.124028
COLS_ONLY,ClusterDiff,1,2,Permutation,0.61593,0.084571
ROWS_ONLY,RawDistances,4,3,Averaged,0.55542,0.075043
ROWS_ONLY,RawDistances,4,2,Same,0.712812,0.074041
COLS_ONLY,RawDistances,4,2,Averaged,0.66873,0.076685
COLS_ONLY,RawDistances,2,2,Permutation,0.606783,0.087218
COLS_ONLY,RawDistances,2,3,Same,0.466083,0.098939
COLS_ONLY,RawDistances,2,4,Averaged,0.3866,0.09389
BOTH,RawDistances,3,2,Averaged,0.686,0.091972
ROWS_ONLY,ClusterDiff,2,2,Permutation,0.676411,0.090231
ROWS_ONLY,ClusterDiff,2,3,Same,0.507954,0.134941
ROWS_ONLY,ClusterDiff,2,4,Averaged,0.45521,0.121814
ROWS_ONLY,RawDistances,5,2,Averaged,0.71637,0.062004
ROWS_ONLY,RawDistances,2,2,Decrement,0.643766,0.137091
ROWS_ONLY,RawDistances,2,3,Permutation,0.483397,0.0779
ROWS_ONLY,RawDistances,2,4,Same,0.421751,0.094062
ROWS_ONLY,RawDistances,2,5,Averaged,0.35066,0.085068
ROWS_ONLY,ClusterDiff,3,2,Same,0.740514,0.097304
ROWS_ONLY,ClusterDiff,3,3,Averaged,0.56221,0.124783
BOTH,Pruning,1,2,Averaged,0.628286,0.099668
COLS_ONLY,RawDistances,3,2,Same,0.654147,0.090807
COLS_ONLY,RawDistances,3,3,Averaged,0.48982,0.09198
BOTH,RawDistances,1,2,Permutation,0.596797,0.097603
BOTH,RawDistances,1,3,Same,0.450245,0.106941
BOTH,RawDistances,1,4,Averaged,0.371429,0.104091
ROWS_ONLY,RawPruning,2,2,Averaged,0.64894,0.075013
COLS_ONLY,ClusterDiff,2,2,Same,0.692243,0.100527
COLS_ONLY,ClusterDiff,2,3,Averaged,0.49259,0.124338
BOTH,RawDistances,2,2,Same,0.662768,0.098688
BOTH,RawDistances,2,3,Averaged,0.49931,0.09803
COLS_ONLY,Pruning,2,2,Averaged,0.6779,0.096569
ROWS_ONLY,Pruning,2,2,Same,0.695777,0.101262
ROWS_ONLY,Pruning,2,3,Averaged,0.49991,0.128014
ROWS_ONLY,Pruning,3,2,Averaged,0.72752,0.095536
COLS_ONLY,RawDistances,1,2,Decrement,0.536487,0.1688
COLS_ONLY,RawDistances,1,3,Permutation,0.401913,0.086599
COLS_ONLY,RawDistances,1,4,Same,0.339898,0.091529
COLS_ONLY,RawDistances,1,5,Averaged,0.272952,0.076474
ROWS_ONLY,Pruning,1,2,Permutation,0.616468,0.084507
ROWS_ONLY,Pruning,1,3,Same,0.415963,0.127824
ROWS_ONLY,Pruning,1,4,Averaged,0.375143,0.110266
ROWS_ONLY,RawPruning,1,2,Same,0.59727,0.083276
ROWS_ONLY,RawPruning,1,3,Averaged,0.433238,0.077171
COLS_ONLY,Pruning,1,2,Same,0.628321,0.095329
COLS_ONLY,Pruning,1,3,Averaged,0.408286,0.114881
ROWS_ONLY,ClusterDiff,1,2,Decrement,0.664811,0.148181
ROWS_ONLY,ClusterDiff,1,3,Permutation,0.406643,0.114229
ROWS_ONLY,ClusterDiff,1,4,Same,0.390122,0.118441
ROWS_ONLY,ClusterDiff,1,5,Averaged,0.323333,0.11557
BOTH,ClusterDiff,1,4,Averaged,0.39019,0.121232
BOTH,ClusterDiff,1,3,Same,0.432427,0.138283
BOTH,ClusterDiff,1,2,Permutation,0.629259,0.097115
ROWS_ONLY,RawDistances,1,7,Averaged,0.235048,0.074293
ROWS_ONLY,RawDistances,1,6,Same,0.2655,0.082835
ROWS_ONLY,RawDistances,1,5,Permutation,0.290444,0.06995
ROWS_ONLY,RawDistances,1,4,Decrement,0.378479,0.141227
ROWS_ONLY,RawDistances,1,3,Increment,0.486943,0.130672
ROWS_ONLY,RawDistances,1,2,[weight],0.617313,0.130774
BOTH,ClusterDiff,2,3,Averaged,0.5241,0.139338
BOTH,ClusterDiff,2,2,Same,0.711313,0.108608
BOTH,RawDistances,4,2,Averaged,0.71198,0.082633
COLS_ONLY,ClusterDiff,3,3,Averaged,0.55609,0.123234
COLS_ONLY,ClusterDiff,3,2,Same,0.739803,0.097584
ROWS_ONLY,ClusterDiff,4,3,Averaged,0.6078,0.119997
ROWS_ONLY,ClusterDiff,4,2,Same,0.773195,0.088348
BOTH,ClusterDiff,3,2,Averaged,0.74557,0.101901
COLS_ONLY,RawPruning,1,3,Averaged,0.403905,0.088732
COLS_ONLY,RawPruning,1,2,Same,0.564239,0.090505
COLS_ONLY,ClusterDiff,4,2,Averaged,0.75348,0.088291
COLS_ONLY,RawPruning,2,2,Averaged,0.61995,0.084202
ROWS_ONLY,RawDistances,6,2,Averaged,0.72901,0.052017
ROWS_ONLY,RawDistances,3,5,Averaged,0.39049,0.09046
ROWS_ONLY,RawDistances,3,4,Same,0.464902,0.095001
ROWS_ONLY,RawDistances,3,3,Permutation,0.521749,0.079363
ROWS_ONLY,RawDistances,3,2,Decrement,0.673961,0.131217
ROWS_ONLY,Pruning,4,2,Averaged,0.76363,0.089962
COLS_ONLY,ClusterDiff,1,5,Averaged,0.323333,0.112498
COLS_ONLY,ClusterDiff,1,4,Same,0.389601,0.117663
COLS_ONLY,ClusterDiff,1,3,Permutation,0.402451,0.109856
COLS_ONLY,ClusterDiff,1,2,Decrement,0.664193,0.146991
COLS_ONLY,RawDistances,5,2,Averaged,0.68422,0.069971
ROWS_ONLY,RawDistances,4,4,Averaged,0.48089,0.081996
ROWS_ONLY,RawDistances,4,3,Same,0.577845,0.081229
ROWS_ONLY,RawDistances,4,2,Permutation,0.69816,0.063836
COLS_ONLY,RawDistances,4,2,Same,0.682637,0.080884
COLS_ONLY,RawDistances,4,3,Averaged,0.51829,0.086873
COLS_ONLY,RawDistances,2,2,Decrement,0.582435,0.161382
COLS_ONLY,RawDistances,2,3,Permutation,0.452833,0.088738
COLS_ONLY,RawDistances,2,4,Same,0.395547,0.101107
COLS_ONLY,RawDistances,2,5,Averaged,0.32451,0.090364
BOTH,RawDistances,3,2,Same,0.700886,0.097032
BOTH,RawDistances,3,3,Averaged,0.53709,0.095718
ROWS_ONLY,ClusterDiff,2,2,Decrement,0.736851,0.150631
ROWS_ONLY,ClusterDiff,2,3,Permutation,0.491298,0.122037
ROWS_ONLY,ClusterDiff,2,4,Same,0.474814,0.128586
ROWS_ONLY,ClusterDiff,2,5,Averaged,0.40564,0.1309
ROWS_ONLY,RawDistances,5,2,Same,0.731346,0.066497
ROWS_ONLY,RawDistances,5,3,Averaged,0.57477,0.064956
BOTH,Pruning,2,2,Averaged,0.69929,0.10535
BOTH,RawPruning,1,2,Averaged,0.595143,0.099268
ROWS_ONLY,RawDistances,2,2,Increment,0.732621,0.133978
