    RawDistances  ClusteringDiff  ClusterDiffGAscent
 1        0.3159          0.3230              0.3122
 2        0.3780          0.4161              0.4079
 3        0.4273          0.5037              0.5022
 4        0.4653          0.5486              0.5529
 5        0.4800          0.5784              0.5881
 6        0.5154          0.6490              0.6661
 7        0.5307          0.6734              0.6987
 8        0.5478          0.7168              0.7563
 9        0.5483          0.7093              0.7515
10        0.5596          0.7197              0.7716
11        0.5725          0.7596              0.8212
12        0.5742          0.7605              0.8289
13        0.5794          0.7689              0.8467
14        0.5857          0.7798              0.8634
15        0.5917          0.7895              0.8821
16        0.5914          0.7954              0.9020
17        0.5944          0.8030              0.9196
18        0.6010          0.8209              0.9546
19        0.6006          0.8231              0.9643
20        0.6021          0.8291              0.9816
21        0.6060          0.8360               1.000
