    RawDistances  ClusterDiff  Pruning  RawPruning
 1         22.23        21.54    21.54       22.23
 2         27.13        30.35    30.33       28.17
 3         30.93        37.87    38.14       32.90
 4         34.19        44.20    44.82       36.65
 5         36.63        50.30    51.32       39.79
 6         38.02        52.86    54.64       42.11
 7         40.70        57.66    60.02       44.93
 8         40.30        58.27    61.05       45.36
 9         42.22        62.34    66.55       47.66
10         42.51        62.22    66.51       48.60
11         43.57        65.80    71.53       51.03
12         44.21        67.64    74.44       52.02
13         45.32        70.74    79.32       53.86
14         45.84        72.13    81.82       55.29
15         45.77        72.59    82.74       55.60
16         46.51        74.25    85.88       57.01
17         47.08        76.38    89.72       58.21
18         47.79        77.87    92.36       59.71
19         48.10        78.56    94.13       60.44
20         48.69        79.80    96.73       61.34
21         49.20        81.00    99.40       62.60
