@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Increment,Decrement,Permutation,[contents],[weight],[color],~[contents],~[weight],~[color],Same:contents,IncrementPattern:weight,DecrementPattern:weight,Different:color,Same:color,Same:weight,Different:contents,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,RawDistances,1,2,Averaged,0.583905,0.076899
ROWS_ONLY,RawDistances,1,3,Averaged,0.420571,0.087925
ROWS_ONLY,RawDistances,1,2,Same,0.589455,0.081362
ROWS_ONLY,ClusterDiff,1,2,Averaged,0.619333,0.08738
ROWS_ONLY,RawDistances,2,2,Averaged,0.6241,0.08367
COLS_ONLY,RawDistances,1,2,Averaged,0.560667,0.083245
ROWS_ONLY,Pruning,1,2,Averaged,0.619333,0.08738
COLS_ONLY,ClusterDiff,1,2,Averaged,0.618,0.0878
ROWS_ONLY,RawDistances,1,4,Averaged,0.345429,0.087316
ROWS_ONLY,RawDistances,1,3,Same,0.430239,0.093769
ROWS_ONLY,RawDistances,1,2,Increment,0.652458,0.137804
ROWS_ONLY,ClusterDiff,1,3,Averaged,0.414286,0.116697
ROWS_ONLY,ClusterDiff,1,2,Same,0.633323,0.09327
BOTH,RawDistances,1,2,Averaged,0.591429,0.090238
ROWS_ONLY,RawDistances,2,2,Same,0.633195,0.089673
ROWS_ONLY,RawDistances,2,3,Averaged,0.46833,0.08958
ROWS_ONLY,ClusterDiff,2,2,Averaged,0.68196,0.091692
COLS_ONLY,RawDistances,2,2,Averaged,0.60512,0.084477
ROWS_ONLY,RawDistances,3,2,Averaged,0.65146,0.080674
COLS_ONLY,RawDistances,1,2,Same,0.566323,0.086331
COLS_ONLY,RawDistances,1,3,Averaged,0.405048,0.087324
ROWS_ONLY,Pruning,1,3,Averaged,0.414286,0.116697
ROWS_ONLY,Pruning,1,2,Same,0.633323,0.09327
COLS_ONLY,ClusterDiff,1,3,Averaged,0.410762,0.112594
COLS_ONLY,ClusterDiff,1,2,Same,0.631968,0.093327
ROWS_ONLY,RawDistances,1,5,Averaged,0.287714,0.079873
ROWS_ONLY,RawDistances,1,4,Same,0.353131,0.094131
ROWS_ONLY,RawDistances,1,3,Increment,0.476575,0.138134
ROWS_ONLY,RawDistances,1,2,Decrement,0.580396,0.148494
COLS_ONLY,Pruning,1,2,Averaged,0.618,0.0878
ROWS_ONLY,ClusterDiff,1,4,Averaged,0.376857,0.10804
ROWS_ONLY,ClusterDiff,1,3,Same,0.418152,0.125419
ROWS_ONLY,ClusterDiff,1,2,Increment,0.65169,0.135944
BOTH,RawDistances,1,3,Averaged,0.432857,0.098303
BOTH,RawDistances,1,2,Same,0.59727,0.096157
ROWS_ONLY,Pruning,2,2,Averaged,0.68552,0.0908
COLS_ONLY,RawDistances,3,2,Averaged,0.63052,0.08108
BOTH,RawDistances,2,2,Averaged,0.63546,0.092864
ROWS_ONLY,RawDistances,2,2,Increment,0.720323,0.134642
ROWS_ONLY,RawDistances,2,3,Same,0.483632,0.096385
ROWS_ONLY,RawDistances,2,4,Averaged,0.39641,0.091176
BOTH,ClusterDiff,1,2,Averaged,0.632286,0.097551
ROWS_ONLY,ClusterDiff,3,2,Averaged,0.72482,0.082516
ROWS_ONLY,ClusterDiff,2,2,Same,0.699267,0.096358
ROWS_ONLY,ClusterDiff,2,3,Averaged,0.50023,0.124058
COLS_ONLY,RawDistances,2,2,Same,0.613195,0.08976
COLS_ONLY,RawDistances,2,3,Averaged,0.45339,0.09218
ROWS_ONLY,RawDistances,4,2,Averaged,0.66507,0.074714
ROWS_ONLY,RawDistances,3,2,Same,0.663173,0.086458
ROWS_ONLY,RawDistances,3,3,Averaged,0.49981,0.086031
COLS_ONLY,RawDistances,1,2,Increment,0.624808,0.109826
COLS_ONLY,RawDistances,1,3,Same,0.41117,0.092322
COLS_ONLY,RawDistances,1,4,Averaged,0.32981,0.08451
COLS_ONLY,ClusterDiff,2,2,Averaged,0.67957,0.092353
ROWS_ONLY,Pruning,1,4,Averaged,0.376857,0.10804
ROWS_ONLY,Pruning,1,3,Same,0.418152,0.125419
ROWS_ONLY,Pruning,1,2,Increment,0.65169,0.135944
COLS_ONLY,ClusterDiff,1,4,Averaged,0.374952,0.108201
COLS_ONLY,ClusterDiff,1,3,Same,0.41513,0.121171
COLS_ONLY,ClusterDiff,1,2,Increment,0.645161,0.135162
ROWS_ONLY,RawDistances,1,6,Averaged,0.253333,0.077556
ROWS_ONLY,RawDistances,1,5,Same,0.294467,0.084123
