    RawDistances  RawDistances-std  RawDistances+std  ClusterDiff  ClusterDiff-std  ClusterDiff+std  Pruning  Pruning-std  Pruning+std
 1         21.66             13.26             30.06        21.78            11.83            31.73    21.78        11.83        31.73
 2         26.15             17.03             35.27        30.54            17.29            43.78    30.51        17.21        43.82
 3         29.31             20.34             38.28        37.21            22.91            51.51    37.44        22.70        52.19
 4         31.16             22.12             40.19        42.09            25.67            58.52    42.57        25.43        59.72
 5         34.68             26.45             42.90        47.69            32.24            63.15    49.07        32.01        66.14
 6         35.01             27.14             42.88        50.39            35.31            65.48    52.35        35.43        69.27
 7         37.25             29.93             44.57        55.93            39.80            72.06    59.19        40.20        78.19
 8         38.41             31.65             45.18        59.22            43.23            75.21    63.08        44.27        81.89
 9         39.70             33.77             45.62        61.16            46.39            75.92    66.19        47.49        84.90
10         40.71             35.45             45.97        64.40            48.90            79.91    70.48        50.48        90.48
11         41.21             36.40             46.02        66.00            51.17            80.83    73.29        53.57        93.00
12         41.90             37.45             46.35        66.71            52.78            80.63    74.54        55.42        93.66
13         42.57             38.57             46.57        68.47            55.69            81.25    77.28        59.40        95.16
14         43.43             39.73             47.12        70.02            57.37            82.67    80.22        61.96        98.47
15         43.39             39.75             47.03        71.01            58.84            83.18    82.74        64.72        100.0
16         43.98             40.96             47.00        72.80            61.96            83.63    85.45        68.90        100.0
17         44.20             41.57             46.82        73.25            63.27            83.22    86.87        71.12        100.0
18         44.28             42.10             46.46        74.78            65.93            83.63    89.90        75.85        100.0
19         44.68             42.87             46.48        76.84            69.47            84.21    93.70        81.73        100.0
20         44.66             43.33             45.98        78.31            72.95            83.68    96.60        87.73        100.0
21         44.60             44.60             44.60        79.80            79.80            79.80    99.40        99.40        99.40
