    Same:contents  IncrementPattern:weight  DecrementPattern:weight  Different:color  Same:color  Same:weight  Different:contents
 1          20.28                    22.77                    24.64            19.19       19.97        25.21               20.98
 2          29.61                    33.73                    36.28            26.80       26.13        36.62               29.21
 3          38.19                    42.22                    45.38            33.09       31.03        45.42               36.25
 4          43.91                    48.82                    50.82            38.67       35.75        51.34               41.08
 5          51.84                    57.47                    58.08            44.11       39.73        59.26               47.81
 6          53.55                    61.56                    61.70            47.20       43.54        63.23               50.72
 7          61.00                    68.39                    68.13            53.95       50.07        69.74               57.86
 8          66.09                    72.08                    71.03            58.34       54.33        72.76               61.96
 9          67.73                    76.58                    74.08            61.94       57.94        76.53               64.19
10          73.13                    79.77                    77.32            65.96       61.91        79.62               69.31
11          76.10                    82.00                    79.74            69.12       65.52        81.82               72.24
12          77.64                    83.19                    80.47            70.66       67.22        82.68               73.46
13          79.25                    85.73                    82.83            74.11       71.34        84.99               75.78
14          82.14                    87.69                    85.12            77.16       74.59        87.06               79.00
15          84.10                    89.19                    87.10            80.40       78.42        88.69               81.41
16          87.25                    91.22                    89.09            82.98       81.12        90.63               84.55
17          88.67                    92.29                    90.10            84.62       82.96        91.59               86.04
18          91.01                    94.33                    92.53            88.33       87.28        93.70               89.01
19          94.62                    96.61                    95.41            92.43       91.89        96.17               93.21
20          97.07                    98.35                    97.74            95.74       95.63        98.12               96.25
21          99.40                    100.0                    100.0            98.98       99.31        100.0               99.13
