    ~[contents]  ~[contents]-std  ~[contents]+std  ~[weight]  ~[weight]-std  ~[weight]+std  ~[color]  ~[color]-std  ~[color]+std
 1        24.22            7.517            40.92      16.55          5.589          27.50     25.60         8.756         42.44
 2        34.10            14.18            54.01      21.20          6.352          36.04     36.73         16.93         56.52
 3        40.57            20.23            60.90      25.29          7.695          42.88     45.26         24.83         65.68
 4        46.49            24.14            68.84      29.20          8.316          50.08     49.64         28.03         71.25
 5        51.96            28.30            75.61      33.54          13.03          54.05     58.52         36.89         80.15
 6        56.48            33.77            79.20      35.76          13.93          57.58     62.02         40.45         83.59
 7        62.34            38.67            86.01      43.11          17.48          68.73     69.12         46.82         91.41
 8        65.45            40.37            90.53      48.31          22.54          74.09     72.00         50.04         93.95
 9        71.04            46.52            95.56      50.43          24.22          76.65     74.15         53.33         94.98
10        72.97            48.03            97.91      56.53          28.21          84.85     79.13         57.98         100.0
11        75.54            51.26            99.81      60.27          31.73          88.81     81.24         60.99         100.0
12        76.79            52.27            100.0      62.12          34.62          89.62     81.89         61.85         100.0
13        80.75            57.12            100.0      65.52          39.32          91.72     83.08         63.46         100.0
14        82.94            59.80            100.0      69.77          43.04          96.50     85.89         66.91         100.0
15        85.81            63.89            100.0      73.65          47.08          100.0     86.93         68.27         100.0
16        87.33            66.09            100.0      77.54          53.01          100.0     89.99         73.09         100.0
17        88.60            68.24            100.0      79.67          56.29          100.0     91.00         74.82         100.0
18        91.90            74.21            100.0      84.11          62.98          100.0     92.64         77.60         100.0
19        94.72            79.81            100.0      89.93          72.06          100.0     95.92         84.31         100.0
20        97.35            86.28            100.0      94.28          80.98          100.0     98.05         89.60         100.0
21        100.0            100.0            100.0      98.48          98.48          98.48     100.0         100.0         100.0
