     Same  Same-std  Same+std  Increment  Increment-std  Increment+std  Decrement  Decrement-std  Decrement+std  Permutation  Permutation-std  Permutation+std
 1  22.20     11.74     32.67      22.77          7.977          37.57      24.64          10.08          39.21        21.07            12.34            29.80
 2  31.45     17.72     45.18      33.73          15.16          52.30      36.28          18.68          53.88        28.95            16.33            41.57
 3  38.76     23.79     53.74      42.22          22.32          62.11      45.38          28.08          62.68        35.44            20.78            50.10
 4  44.08     26.94     61.22      48.82          28.28          69.36      50.82          32.21          69.44        40.38            23.05            57.71
 5  50.83     33.86     67.81      57.47          37.30          77.63      58.08          40.61          75.55        46.59            29.16            64.02
 6  54.19     37.62     70.76      61.56          43.42          79.69      61.70          45.31          78.10        49.67            31.93            67.40
 7  60.97     42.52     79.43      68.39          50.23          86.55      68.13          51.46          84.81        56.60            36.41            76.80
 8  64.77     46.59     82.95      72.08          54.27          89.88      71.03          54.68          87.39        60.77            40.83            80.70
 9  68.02     50.10     85.94      76.58          61.42          91.74      74.08          58.52          89.64        63.67            43.60            83.74
10  72.09     53.00     91.18      79.77          64.70          94.84      77.32          60.77          93.87        68.28            46.82            89.75
11  74.85     56.11     93.59      82.00          67.16          96.85      79.74          63.97          95.52        71.30            50.10            92.51
12  76.05     57.84     94.25      83.19          69.02          97.37      80.47          64.83          96.12        72.66            52.13            93.19
13  78.73     61.79     95.68      85.73          73.22          98.24      82.83          68.46          97.20        75.51            56.27            94.75
14  81.51     64.20     98.81      87.69          75.14          100.0      85.12          70.48          99.75        78.67            59.02            98.31
15  83.89     66.84     100.0      89.19          76.79          100.0      87.10          72.77          100.0        81.37            61.95            100.0
16  86.46     70.83     100.0      91.22          80.18          100.0      89.09          75.94          100.0        84.29            66.48            100.0
17  87.82     72.99     100.0      92.29          82.07          100.0      90.10          77.41          100.0        85.83            68.87            100.0
18  90.69     77.52     100.0      94.33          85.55          100.0      92.53          81.36          100.0        89.09            73.97            100.0
19  94.23     83.00     100.0      96.61          89.21          100.0      95.41          85.68          100.0        93.19            80.33            100.0
20  96.95     88.64     100.0      98.35          92.95          100.0      97.74          90.55          100.0        96.31            86.79            100.0
21  99.56     99.56     99.56      100.0          100.0          100.0      100.0          100.0          100.0        99.32            99.32            99.32
