    Same:weight  Different:color  DecrementPattern:weight  Same:color  Same:contents  Different:contents  IncrementPattern:weight
 1        24.77            18.90                    23.81       19.90          19.94               20.76                    22.89
 2        36.06            26.47                    35.34       26.36          29.05               29.09                    33.77
 3        45.60            33.48                    45.30       32.10          38.34               37.05                    43.00
 4        52.98            39.75                    52.64       36.94          47.29               44.28                    50.52
 5        61.47            45.27                    60.76       42.04          52.81               50.43                    59.31
 6        64.93            48.85                    63.94       45.30          55.92               53.50                    62.81
 7        70.96            54.85                    69.45       51.13          60.93               58.25                    69.86
 8        71.69            55.30                    70.33       51.10          63.79               60.16                    70.66
 9        76.68            62.22                    75.16       58.83          67.88               64.75                    76.02
10        76.76            61.13                    74.69       56.43          70.01               65.43                    76.50
11        80.82            66.31                    79.12       61.91          74.72               70.81                    80.40
12        82.81            69.63                    81.48       65.66          78.44               73.93                    82.38
13        86.37            76.07                    84.97       73.40          81.45               78.19                    86.34
14        88.25            79.17                    86.92       76.84          83.65               80.46                    88.39
15        88.88            79.38                    87.76       76.83          85.22               82.14                    88.80
16        91.00            83.43                    89.82       81.64          88.02               85.00                    91.25
17        93.56            87.84                    92.73       86.61          91.19               89.04                    93.72
18        95.34            91.30                    94.56       90.94          93.27               91.42                    95.70
19        96.48            92.75                    95.94       92.29          95.25               93.76                    96.64
20        98.22            95.82                    97.93       95.76          97.33               96.41                    98.31
21        100.0            98.98                    100.0       99.31          99.40               99.13                    100.0
