    ~[weight]  ~[weight]-std  ~[weight]+std  ~[color]  ~[color]-std  ~[color]+std  ~[contents]  ~[contents]-std  ~[contents]+std
 1      16.62          5.385          27.85     25.54         8.576         42.51        23.91            7.054            40.77
 2      21.58          6.054          37.10     36.83         16.54         57.12        33.74            13.49            53.99
 3      26.77          9.292          44.24     46.47         24.16         68.79        40.98            18.67            63.29
 4      32.38          9.654          55.10     54.42         30.61         78.22        46.09            24.89            67.28
 5      35.84          13.79          57.90     62.78         40.20         85.36        53.51            31.02            76.01
 6      38.95          13.72          64.18     65.75         44.66         86.84        57.46            34.59            80.32
 7      43.33          17.41          69.25     69.95         50.11         89.78        64.60            40.95            88.25
 8      44.82          21.30          68.35     72.16         51.17         93.15        63.08            39.17            87.00
 9      51.10          25.09          77.10     74.73         54.61         94.85        71.23            46.88            95.59
10      50.87          25.14          76.61     77.10         57.94         96.27        69.01            45.45            92.58
11      57.35          29.93          84.77     81.82         62.85         100.0        73.06            48.65            97.46
12      61.67          35.88          87.46     83.87         65.93         100.0        75.29            51.11            99.46
13      68.56          40.94          96.18     85.49         67.67         100.0        82.13            58.71            100.0
14      72.01          45.43          98.58     86.77         69.31         100.0        85.22            63.09            100.0
15      73.37          47.02          99.73     89.19         72.46         100.0        84.02            61.18            100.0
16      78.07          54.08          100.0     90.46         75.01         100.0        87.96            67.23            100.0
17      83.86          61.40          100.0     93.20         79.34         100.0        91.32            72.80            100.0
18      87.81          69.16          100.0     94.09         81.18         100.0        94.72            80.07            100.0
19      90.55          73.63          100.0     96.62         86.48         100.0        94.91            80.13            100.0
20      94.47          81.71          100.0     98.29         90.73         100.0        97.41            86.36            100.0
21      98.48          98.48          98.48     100.0         100.0         100.0        100.0            100.0            100.0
