    [weight]  [weight]-std  [weight]+std  [color]  [color]-std  [color]+std  [contents]  [contents]-std  [contents]+std
 1     24.77         9.841         39.70    19.43        10.60        28.25       20.62           11.26           29.98
 2     36.06         17.68         54.45    26.88        13.42        40.35       29.00           15.22           42.77
 3     45.60         25.72         65.47    33.73        17.77        49.70       37.04           20.62           53.46
 4     52.98         32.96         73.00    39.74        20.75        58.74       44.33           24.66           64.00
 5     61.47         43.57         79.36    45.26        25.72        64.79       50.47           30.69           70.24
 6     64.93         48.09         81.76    48.76        27.42        70.10       53.54           33.27           73.82
 7     70.96         55.70         86.23    54.77        31.80        77.74       58.24           37.72           78.76
 8     71.69         56.89         86.49    55.17        34.32        76.03       60.26           41.31           79.21
 9     76.68         62.13         91.24    62.23        39.17        85.29       64.73           44.73           84.74
10     76.76         63.21         90.31    60.90        38.49        83.32       65.53           46.41           84.66
11     80.82         67.14         94.51    66.08        42.35        89.82       70.93           50.78           91.08
12     82.81         70.35         95.28    69.45        46.83        92.08       74.11           55.72           92.51
13     86.37         73.03         99.71    76.05        52.62        99.47       78.23           58.42           98.03
14     88.25         75.64         100.0    79.20        56.87        100.0       80.49           61.31           99.68
15     88.88         76.61         100.0    79.33        56.84        100.0       82.24           63.81           100.0
16     91.00         79.94         100.0    83.46        63.01        100.0       85.07           68.18           100.0
17     93.56         83.28         100.0    87.88        69.11        100.0       89.10           73.37           100.0
18     95.34         87.05         100.0    91.45        76.49        100.0       91.44           77.87           100.0
19     96.48         88.86         100.0    92.82        78.24        100.0       93.83           82.32           100.0
20     98.22         92.52         100.0    95.91        84.94        100.0       96.47           87.83           100.0
21     100.0         100.0         100.0    99.08        99.08        99.08       99.17           99.17           99.17
