    ROWS_ONLY  ROWS_ONLY-std  ROWS_ONLY+std  COLS_ONLY  COLS_ONLY-std  COLS_ONLY+std   BOTH  BOTH-std  BOTH+std
 1      20.11          10.98          29.25      20.54          11.33          29.75  21.54     11.39     31.70
 2      27.49          16.00          38.97      28.11          16.44          39.78  30.32     16.64     43.99
 3      33.79          21.16          46.42      34.73          21.89          47.57  38.14     22.52     53.76
 4      39.03          25.39          52.67      40.20          26.14          54.25  44.81     26.84     62.77
 5      44.57          31.24          57.90      46.04          32.58          59.49  51.33     33.62     69.03
 6      47.54          34.17          60.91      49.02          35.43          62.61  54.65     36.43     72.86
 7      52.14          38.16          66.13      53.55          39.50          67.59  60.02     41.08     78.97
 8      52.72          39.96          65.47      54.40          41.70          67.10  61.04     43.75     78.32
 9      57.54          43.69          71.39      59.09          45.25          72.92  66.55     47.87     85.23
10      57.50          44.56          70.43      59.18          46.32          72.04  66.50     48.68     84.32
11      61.05          47.21          74.89      62.82          49.16          76.48  71.53     52.53     90.53
12      63.22          50.09          76.34      65.16          52.52          77.80  74.45     56.98     91.92
13      67.14          53.35          80.93      68.79          55.35          82.22  79.31     60.41     98.21
14      69.13          55.81          82.44      70.92          58.19          83.64  81.84     63.78     99.90
15      69.85          56.67          83.02      71.38          58.43          84.34  82.72     64.90     100.0
16      72.19          60.21          84.16      73.79          62.43          85.15  85.90     69.79     100.0
17      75.12          64.04          86.21      76.53          66.07          86.98  89.70     74.61     100.0
18      77.21          68.35          86.07      78.43          70.12          86.75  92.37     80.00     100.0
19      78.26          69.85          86.67      79.42          71.73          87.12  94.16     82.92     100.0
20      80.15          73.75          86.55      81.09          75.45          86.72  96.78     88.41     100.0
21      82.00          82.00          82.00      82.80          82.80          82.80  99.40     99.40     99.40
