     Same  Same-std  Same+std  Permutation  Permutation-std  Permutation+std  Decrement  Decrement-std  Decrement+std  Increment  Increment-std  Increment+std
 1  21.92     11.23     32.61        20.88            11.98            29.77      23.81          8.850          38.77      22.89          8.177          37.60
 2  31.17     17.02     45.32        28.84            15.92            41.76      35.34          16.84          53.85      33.77          15.34          52.21
 3  39.29     23.25     55.33        36.28            21.04            51.53      45.30          25.02          65.58      43.00          22.92          63.08
 4  46.18     28.21     64.15        42.84            24.56            61.13      52.64          32.16          73.11      50.52          29.89          71.15
 5  52.96     35.44     70.47        48.84            30.49            67.20      60.76          42.95          78.57      59.31          39.61          79.01
 6  56.30     38.55     74.05        52.11            32.74            71.47      63.94          46.23          81.66      62.81          44.92          80.69
 7  61.87     43.56     80.17        57.30            37.04            77.56      69.45          53.17          85.73      69.86          53.37          86.36
 8  62.80     46.09     79.51        58.55            40.27            76.83      70.33          55.04          85.62      70.66          54.69          86.62
 9  68.32     50.34     86.30        64.13            44.18            84.08      75.16          59.70          90.63      76.02          60.51          91.54
10  68.33     51.28     85.38        64.09            44.96            83.22      74.69          59.98          89.41      76.50          62.44          90.55
11  73.13     55.02     91.24        69.42            49.03            89.81      79.12          64.00          94.24      80.40          66.41          94.38
12  75.94     59.29     92.59        72.61            53.86            91.35      81.48          68.10          94.85      82.38          68.89          95.86
13  80.64     62.68     98.60        77.72            57.41            98.02      84.97          70.22          99.73      86.34          72.76          99.92
14  83.07     65.92     100.0        80.36            60.93            99.79      86.92          72.96          100.0      88.39          75.68          100.0
15  83.87     67.00     100.0        81.42            62.34            100.0      87.76          74.28          100.0      88.80          76.40          100.0
16  86.91     71.69     100.0        84.76            67.43            100.0      89.82          77.38          100.0      91.25          80.25          100.0
17  90.48     76.25     100.0        88.90            72.72            100.0      92.73          81.16          100.0      93.72          83.57          100.0
18  93.04     81.49     100.0        91.70            78.35            100.0      94.56          84.97          100.0      95.70          87.78          100.0
19  94.63     84.00     100.0        93.65            81.54            100.0      95.94          87.18          100.0      96.64          89.18          100.0
20  97.07     89.10     100.0        96.45            87.34            100.0      97.93          91.35          100.0      98.31          92.76          100.0
21  99.56     99.56     99.56        99.32            99.32            99.32      100.0          100.0          100.0      100.0          100.0          100.0
