    RawDistances  ClusteringDiff  ClusterDiffGAscent
 1        0.3159          0.3122              0.3122
 2        0.3780          0.4072              0.4081
 3        0.4273          0.4967              0.5025
 4        0.4653          0.5435              0.5536
 5        0.4800          0.5732              0.5882
 6        0.5154          0.6459              0.6665
 7        0.5307          0.6708              0.7000
 8        0.5478          0.7158              0.7565
 9        0.5483          0.7078              0.7530
10        0.5596          0.7189              0.7728
11        0.5725          0.7591              0.8225
12        0.5742          0.7600              0.8313
13        0.5794          0.7692              0.8488
14        0.5857          0.7801              0.8653
15        0.5917          0.7897              0.8834
16        0.5914          0.7966              0.9034
17        0.5944          0.8044              0.9207
18        0.6010          0.8228              0.9555
19        0.6006          0.8255              0.9649
20        0.6021          0.8322              0.9819
21        0.6060          0.8400               1.000
